"activity_id","activity_name","activity_work_indicator_flag","activity_relance_mission_flag","snapshot_date"
"36306010001",Achat hélicoptères de secours sécurité civile,false,true,"2021-03-01 23:59:59"
"36303010001",Business France - Plan export,true,true,"2021-03-01 23:59:59"
"36207040001",Prime à la conversion VL,true,true,"2021-03-01 23:59:59"
"36402100002",PIC- Cléa numérique,false,true,"2021-03-01 23:59:59"
"36402010002",Aide exceptionnelle contrat professionnalisation,true,true,"2021-03-01 23:59:59"
"36208010001",Modernisation filière automobile,true,true,"2021-03-01 23:59:59"
"36402010001",Aide exceptionnelle à l'apprentissage,true,true,"2021-03-01 23:59:59"
"36304070001",IA Booster,false,true,"2021-03-01 23:59:59"
"36402030002",Service civique,true,true,"2021-03-01 23:59:59"
"36208020001",Modernisation filière aéronautique,true,true,"2021-03-01 23:59:59"
"36302010001",Soutien à la relocalisation - volet sectoriel,true,true,"2021-03-01 23:59:59"
"36401010001",Activité partielle,true,true,"2021-03-01 23:59:59"
"36402040001",Prime à l'embauche jeune,true,true,"2021-03-01 23:59:59"
"36302020001",Soutien à la relocalisation - volet territorial,true,true,"2021-03-01 23:59:59"
"36306010002",Achat hélicoptères gendarmerie nationale,false,true,"2021-03-01 23:59:59"
"36304090001",Industrie du futur,true,true,"2021-03-01 23:59:59"
"36207040003",Bonus électrique,true,true,"2021-03-01 23:59:59"
