"activity_id","activity_name","activity_relance_mission_flag","snapshot_date"
"36306010001",Achat hélicoptères de secours sécurité civile,true,"2021-03-05 23:59:59"
"016601060201",Maintenance technique,false,"2021-03-05 23:59:59"
"073100000003",Autres invest. financiers de nature patrimoniale,false,"2021-03-05 23:59:59"
"36303010001",Business France - Plan export,true,"2021-03-05 23:59:59"
"0176PNIM0331",IM31 TE-gardien.,false,"2021-03-05 23:59:59"
"072300010135",Travaux lourds hors ADAP,false,"2021-03-05 23:59:59"
"021401FC0407",Médecine de prévention,false,"2021-03-05 23:59:59"
"021404EX0201",Concours personnels enseignants HT2,false,"2021-03-05 23:59:59"
"036205040001",Stratégie nationale protéines,true,"2021-03-05 23:59:59"
"36207040001",Prime à la conversion VL,true,"2021-03-05 23:59:59"
"036207040003",Bonus électrique,true,"2021-03-05 23:59:59"
"012300000219",AUTRES OPS NON CONT,false,"2021-03-05 23:59:59"
"016110201017",MCO des avions - marchés principaux,false,"2021-03-05 23:59:59"
"36402100002",PIC- Cléa numérique,true,"2021-03-05 23:59:59"
"036303030001",Fonds d'études et d'aide au secteur privé (FASEP),true,"2021-03-05 23:59:59"
"36402010002",Aide exceptionnelle contrat professionnalisation,true,"2021-03-05 23:59:59"
"36208010001",Modernisation filière automobile,true,"2021-03-05 23:59:59"
"36402010001",Aide exceptionnelle à l'apprentissage,true,"2021-03-05 23:59:59"
"012900120701",Service mutualisé,false,"2021-03-05 23:59:59"
"0176PNIM0333",IM33 Travaux d’aménagement,false,"2021-03-05 23:59:59"
"072300010123",Prestations intellectuelles,false,"2021-03-05 23:59:59"
"36304070001",IA Booster,true,"2021-03-05 23:59:59"
"011400000012",Prêts garantis par l'Etat,false,"2021-03-05 23:59:59"
"035402030101",Représentation et communication des services,false,"2021-03-05 23:59:59"
"36402030002",Service civique,true,"2021-03-05 23:59:59"
"036304120005",Opérations immobilières GN,true,"2021-03-05 23:59:59"
"020301NP3300",CPER 2015-2020 TF,false,"2021-03-05 23:59:59"
"020304PORP03",Programmes de réparation de ponts 03,false,"2021-03-05 23:59:59"
"036201010004",Installation électrique - Éclairage,true,"2021-03-05 23:59:59"
"036201010002",Réhabilitation - Rénovation - Isolation,true,"2021-03-05 23:59:59"
"015510010110",Travail,false,"2021-03-05 23:59:59"
"36208020001",Modernisation filière aéronautique,true,"2021-03-05 23:59:59"
"036201020003",ESR Chauffage - Ventilation - Climatisation,true,"2021-03-05 23:59:59"
"36302010001",Soutien à la relocalisation - volet sectoriel,true,"2021-03-05 23:59:59"
"015234500306",OPE CONSTRUCTION,false,"2021-03-05 23:59:59"
"020301MI3505",RRN Securite et restructuration d'echangeurs,false,"2021-03-05 23:59:59"
"015510010101",Dispositifs de communication,false,"2021-03-05 23:59:59"
"036201020004",ESR Installation électrique - Éclairage,true,"2021-03-05 23:59:59"
"36401010001",Activité partielle,true,"2021-03-05 23:59:59"
"036304120010",Renovation SGAMI,true,"2021-03-05 23:59:59"
"36402040001",Prime à l'embauche jeune,true,"2021-03-05 23:59:59"
"036402030002",Service civique,true,"2021-03-05 23:59:59"
"036304100001",Renforcement  socle numérique de l’Etat,true,"2021-03-05 23:59:59"
"36302020001",Soutien à la relocalisation - volet territorial,true,"2021-03-05 23:59:59"
"0123000002PR",PRE 2021-CCT,false,"2021-03-05 23:59:59"
"036201020002",ESR Réhabilitation - Rénovation - Isolation,true,"2021-03-05 23:59:59"
"036304110005",Etudes préalables et assistances,true,"2021-03-05 23:59:59"
"020301NP3500",CPER 2015-2020 TF,false,"2021-03-05 23:59:59"
"020301NP3100",CPER 2015-2020 TF,false,"2021-03-05 23:59:59"
"036305030001",Opérateurs nationaux patrimoine fonctionnement,true,"2021-03-05 23:59:59"
"0146030332A1",Environnement drones,false,"2021-03-05 23:59:59"
"013421170102",Dispositif de recherches des repreneurs,false,"2021-03-05 23:59:59"
"036304120004",Opérations de construction,true,"2021-03-05 23:59:59"
"014801020401",Restauration,false,"2021-03-05 23:59:59"
"035800000001",Renforcement exceptionnel PFE CriseCOVID,false,"2021-03-05 23:59:59"
"36306010002",Achat hélicoptères gendarmerie nationale,true,"2021-03-05 23:59:59"
"0176PNMM0442",MM42 Véhicules 2 R,false,"2021-03-05 23:59:59"
"0146200105F1",MRTT (Avion de ravitaillement et de transport),false,"2021-03-05 23:59:59"
"36304090001",Industrie du futur,true,"2021-03-05 23:59:59"
"36207040003",Bonus électrique,true,"2021-03-05 23:59:59"
"036207020001",Acquisition véhicules Ministère de l'Intérieur,true,"2021-03-05 23:59:59"
"015234500308",MAINTENANCE NON SPECIALISEE,false,"2021-03-05 23:59:59"
"036201010001",Construction - Extension,true,"2021-03-05 23:59:59"
"036304120003",Opération de maintenance lourde,true,"2021-03-05 23:59:59"
"036201010003",Chauffage - Ventilation - Climatisation,true,"2021-03-05 23:59:59"
"072300010134",Maintenance Corrective,false,"2021-03-05 23:59:59"
