"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
Nombre de primes à la conversion - DVP;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020;false;550;true;"";false;"";{effect:main,Convention citoyenne pour le climat,periodicity:monthly,planningdate:072020,aggregated,tableau de bord,Plan de Relance européen,Particuliers};"2021-02-18 23:59:59"
Nombre de projets alimentaires territoriaux soutenus - PSP;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021;false;10;true;"";false;"";{appel à projets,planningdate:042021,effect:main,Collectivités territoriales,Convention citoyenne pour le climat,Entreprises,periodicity:quarterly,aggregated,cumulated};"2021-02-18 23:59:59"
Nombre d’entreprises bénéficiaires - IDF;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur : 28/02/2021;false;262;true;"";false;"";{aggregated,effect:main,planningdate:022021,Plan de Relance européen,periodicity:monthly,tableau de bord,Entreprises};"2021-02-18 23:59:59"
Montant total des prêts verts souscrits - PVG;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/03/2021;false;160;true;"";false;"";{Entreprises,planningdate:032021,aggregated,Plan de Relance européen,cumulated,unit:M€,periodicity:monthly};"2021-02-18 23:59:59"
Nombre de projets de rénovation de monuments historiques appartenant aux collectivités territoriales bénéficiaires initiés - PAT;;None;None;None;None;false;false;Marchés notifiés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2021;false;95;true;"";false;"";{tableau de bord,effect:main,planningdate:092021,Entreprises,aggregated,Plan de Relance européen,cumulated,periodicity:monthly};"2021-02-18 23:59:59"
Nombre de projets des collectivités locales soutenus - SIL;;None;None;None;None;false;false;"";false;63;true;"";false;"";{aggregated,effect:main,periodicity:monthly,Collectivités territoriales};"2021-02-18 23:59:59"
Nombre d’entrées en service civique - SCI;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020;false;595;true;"";false;"";{Collectivités territoriales,cumulated,Entreprises,periodicity:monthly,Plan de Relance européen,aggregated,Jeunes,planningdate:092020,effect:main};"2021-02-18 23:59:59"
Montant des financements engagés par les opérateurs - IFS;;None;None;None;None;false;false;"";false;335;true;"";false;"";{PIA,Entreprises,appel à projets,Plan de Relance européen,aggregated,periodicity:quarterly};"2021-02-18 23:59:59"
"Nombre de dossiers MaPrimeRénov bénéficiaires (""particulier"" et ""copropriété"") - MPR";;None;None;None;None;false;false;Correspond aux dossiers validés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/00/2021;false;390;true;"";false;"";{aggregated,periodicity:monthly,planningdate:022021,tableau de bord,Particuliers,Convention citoyenne pour le climat,cumulated,Plan de Relance européen};"2021-02-18 23:59:59"
Nombre d'entreprises accompagnées - PAM;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021;false;50;true;"";false;"";{periodicity:quarterly,effect:main,aggregated,Convention citoyenne pour le climat,planningdate:042021,Entreprises,appel à projets,cumulated};"2021-02-18 23:59:59"
Montant des financements engagés par les opérateurs - MTV;;None;None;None;None;false;false;"";false;327;true;"";false;"";{aggregated,periodicity:quarterly,Entreprises,PIA};"2021-02-18 23:59:59"
Nombre de places d’Ehpad créées ou rénovées - SMS;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/11/2021;false;355;true;"";false;"";{aggregated,Administrations,periodicity:monthly,Plan de Relance européen,effect:main,planningdate:112021};"2021-02-18 23:59:59"
