"maturity_id";"maturity_name";"maturity_display_name";"maturity_considered_as_completed";"maturity_is_hidden";"maturity_phase";"snapshot_date"
"Tribunal Judiciaire";"Tribunal Judiciaire";"Tribunal Judiciaire";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"Pays";"Pays";"Pays";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"Ongoing";"En cours";"En cours";"False";"False";"3";"2021-03-10T23:59:59.0000000"
"Suspended";"Suspendu";"Suspendu";"False";"False";"3";"2021-03-10T23:59:59.0000000"
"Ready to start";"En préparation";"En préparation";"False";"False";"3";"2021-03-10T23:59:59.0000000"
"Ministère";"Ministère";"Ministère";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"Not Completed";"Not Completed";"Not Completed";"False";"False";"3";"2021-03-10T23:59:59.0000000"
"Région Académique";"Région Académique";"Région Académique";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"Completed";"Completed";"Completed";"True";"False";"3";"2021-03-10T23:59:59.0000000"
"Région";"Région";"Région";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"Département";"Département";"Département";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"Completed Mesure";"Mesure clôturée";"Mesure clôturée";"True";"False";"3";"2021-03-10T23:59:59.0000000"
"Default";"Default";"";"False";"True";"3";"2021-03-10T23:59:59.0000000"
"Cour d'appel";"Cour d'appel";"Cour d'appel";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"Académie";"Académie";"Académie";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"In definition";"En définition";"En définition";"False";"False";"3";"2021-03-10T23:59:59.0000000"
