"property_id";"property_display_name";"property_type";"property_update_behavior";"property_visibility";"property_is_system";"property_section";"property_is_mandatory";"property_default_value";"property_phases";"property_description";"property_roles";"property_rights";"snapshot_date"
"Jeunes";"Jeunes";"List";"NoValidation";"All";"False";"Tags sur les mesures";"False";"";"";"Plan jeunes";"";"";"2021-03-10T23:59:59.0000000"
"Responsable remontée des données - Région Académique";"Responsable remontée des données";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"6917529027641081859";"4611686082851897359";"2021-03-10T23:59:59.0000000"
"Tableau de bord";"Tableau de bord grand public";"List";"NoValidation";"All";"False";"Tags sur les mesures";"False";"Non";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Equipe Pays Plan de relance";"Equipe Pays Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Code";"Code technique";"String";"AdminOnly";"All";"True";"Général (ne pas modifier)";"True";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Référent Pays Plan de relance";"Référent Pays Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509455";"2021-03-10T23:59:59.0000000"
"Accès en consultation - Pays";"Accès en consultation";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"0";"21474836517";"2021-03-10T23:59:59.0000000"
"Volet";"Volet";"List";"AdminOnly";"All";"False";"Informations structurelles";"False";"Indéfini";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Equipe Relance";"Equipe Relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64449675271";"2021-03-10T23:59:59.0000000"
"Responsable remontée des données - Tribunal Judiciaire";"Responsable remontée des données";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"6917529027641081859";"4611686082851897391";"2021-03-10T23:59:59.0000000"
"Référent Tribunal Judiciaire Plan de relance";"Référent Tribunal Judiciaire Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Accès en consultation - Tribunal Judiciaire";"Accès en consultation";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"0";"21474836517";"2021-03-10T23:59:59.0000000"
"PIA";"PIA";"List";"NoValidation";"All";"False";"Tags sur les mesures";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Sous-périmètre thématique 1";"Sous-périmètre thématique 1";"List";"NoValidation";"All";"False";"Général (ne pas modifier)";"False";"Aucun";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Description";"Description";"Text";"NoValidation";"All";"False";"Autre";"";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Référent Cour d'appel Plan de relance";"Référent Cour d'appel Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Entreprises";"Entreprises";"List";"NoValidation";"All";"False";"Tags sur les mesures";"False";"";"";"Bénéficiaires";"";"";"2021-03-10T23:59:59.0000000"
"Région";"Région";"List";"AdminOnly";"All";"False";"Général (ne pas modifier)";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Accès en consultation - Mesure & Top";"Accès en consultation";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"0";"21500002341";"2021-03-10T23:59:59.0000000"
