"property_id";"property_display_name";"property_type";"property_update_behavior";"property_visibility";"property_is_system";"property_section";"property_is_mandatory";"property_default_value";"property_phases";"property_description";"property_roles";"property_rights";"snapshot_date"
Equipe Pays Plan de relance;Equipe Pays Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Milestone Achievement Date;Achievement Date;Date;ValidationRequired;All;true;Général;;"";"";"";"";"";"2021-02-10 23:59:59"
Référent Régional Plan de relance;Référent Régional Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Equipe Tribunal Judiciaire Plan de relance;Equipe Tribunal Judiciaire Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Equipe régionale Plan de relance;Equipe régionale Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Axe;Axe;List;AdminOnly;All;false;Général;false;Indéfini;"";"";"";"";"2021-02-10 23:59:59"
Mission;Mission Budgétaire;List;NoValidation;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Progress;Progrès;Number;NoValidation;All;true;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
Meteo;Météo;ImageList;NoValidation;All;false;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
Accès en consultation - Région Académique;Accès en consultation;Group;NoValidation;All;false;Equipe;false;"";"";"";"0";"21474836517";"2021-02-10 23:59:59"
Trend;Tendance;ImageList;NoValidation;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Equipe Cour d'appel Plan de relance;Equipe Cour d'appel Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Accès en consultation - Académie;Accès en consultation;Group;NoValidation;All;false;Equipe;false;"";"";"";"0";"21474836517";"2021-02-10 23:59:59"
Référent Région Académique Plan de relance;Référent Région Académique Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Référent Académique Plan de relance;Référent Académique Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082851897359";"2021-02-10 23:59:59"
Responsable remontée des données - Région;Responsable remontée des données;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082851897359";"2021-02-10 23:59:59"
Responsable remontée des données - Mesure;Responsable remontée des données;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082877063183";"2021-02-10 23:59:59"
Référent Tribunal Judiciaire Plan de relance;Référent Tribunal Judiciaire Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Commentaires sur les dernières valeurs des indicateurs;Commentaires sur les dernières valeurs des indicateurs;Text;NoValidation;All;false;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
Equipe Relance;Equipe Relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64449675271";"2021-02-10 23:59:59"
Volet;Volet;List;AdminOnly;All;false;Général;false;Indéfini;"";"";"";"";"2021-02-10 23:59:59"
Responsable remontée des données - Cour d'appel;Responsable remontée des données;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082851897359";"2021-02-10 23:59:59"
Accès en consultation - Région;Accès en consultation;Group;NoValidation;All;false;Equipe;false;"";"";"";"0";"21474836517";"2021-02-10 23:59:59"
Description;Description;Text;NoValidation;All;false;Autre;;"";"";"";"";"";"2021-02-10 23:59:59"
Comment;Commentaire;Text;NoValidation;All;false;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
Equipe Région Académique Plan de relance;Equipe Région Académique Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Mission budgétaire Relance / Hors Mission budgétaire Relance;Mission budgétaire Relance / Hors Mission budgétaire Relance;List;NoValidation;All;false;Général;false;Non-défini;"";"";"";"";"2021-02-10 23:59:59"
Référent National;Référent Opérateur National;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509511";"2021-02-10 23:59:59"
Responsable remontée des données - Département;Responsable remontée des données;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082851897359";"2021-02-10 23:59:59"
Référent Relance;Référent Relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64449675271";"2021-02-10 23:59:59"
Responsable remontée des données - Région Académique;Responsable remontée des données;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082851897359";"2021-02-10 23:59:59"
Action;Action;List;AdminOnly;All;false;Général;false;Indéfini;"";"";"";"";"2021-02-10 23:59:59"
Tableau de bord;Tableau de bord;List;NoValidation;All;false;Général;false;Non;"";"";"";"";"2021-02-10 23:59:59"
SynchronizedId;SynchronizedId;String;AdminOnly;AdminOnly;true;Général;;"";"";"";"";"";"2021-02-10 23:59:59"
Name;Nom;String;ValidationRequired;All;true;Général;true;"";"";"";"";"";"2021-02-10 23:59:59"
Responsable remontée des données - Tribunal Judiciaire;Responsable remontée des données;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082851897391";"2021-02-10 23:59:59"
Code;Code technique;String;AdminOnly;All;true;Général;true;"";"";"";"";"";"2021-02-10 23:59:59"
Exemple concret de réussite liée à la mesure;Exemple concret de réussite liée à la mesure;Text;NoValidation;All;false;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
